Site.name,Site.ID,Site.Code,Depth,Reef.type,Photo Name,Anemone,Corallimorph,Bare rock,Acropora,Bleached Acropora,Bleached Coral,Colourful bleaching,Coral,Sponge,Halimeda,Other Algae,Turf,Crustose coralline algae,Rubble,Sand,Soft Coral,Dead Standing Coral,Other live,Diseased coral,Shadow,Tape,Wand,Sum.excl.TWS
Baresdhoo inside,BI,2022_BI_5m,5m,Inner,BI_5m_Rep2_01.jpg,0,0,0,0,0,0,0,42.9,21.4,0,0,0,0,17.9,0,0,17.9,0,0,0,6.7,0,100
Baresdhoo inside,BI,2022_BI_5m,5m,Inner,BI_5m_Rep2_02.jpg,0,0,23.3,6.7,13.3,0,0,23.3,6.7,0,0,0,0,13.3,3.3,0,10,0,0,0,0,0,100
Baresdhoo inside,BI,2022_BI_5m,5m,Inner,BI_5m_Rep2_03.jpg,0,0,20,0,10,0,0,50,20,0,0,0,0,0,0,0,0,0,0,0,0,0,100
Baresdhoo inside,BI,2022_BI_5m,5m,Inner,BI_5m_Rep2_04.jpg,0,0,50,3.6,3.6,0,0,17.9,25,0,0,0,0,0,0,0,0,0,0,6.7,0,0,100
Baresdhoo inside,BI,2022_BI_5m,5m,Inner,BI_5m_Rep2_05.jpg,0,0,31,3.4,6.9,0,0,37.9,17.2,0,0,0,0,3.4,0,0,0,0,0,0,3.3,0,100
Baresdhoo inside,BI,2022_BI_5m,5m,Inner,BI_5m_Rep2_06.jpg,0,0,17.9,25,0,0,0,7.1,28.6,0,0,0,0,17.9,0,0,3.6,0,0,0,6.7,0,100
Baresdhoo inside,BI,2022_BI_5m,5m,Inner,BI_5m_Rep2_07.jpg,0,0,27.6,6.9,6.9,0,0,41.4,10.3,0,0,3.4,0,0,0,0,3.4,0,0,3.3,0,0,100
Baresdhoo inside,BI,2022_BI_5m,5m,Inner,BI_5m_Rep2_08.jpg,0,0,27.6,20.7,6.9,6.9,0,31,3.4,0,0,0,0,0,0,0,0,3.4,0,3.3,0,0,100
Baresdhoo inside,BI,2022_BI_5m,5m,Inner,BI_5m_Rep2_09.jpg,0,0,10,6.7,0,0,0,33.3,16.7,0,0,0,0,30,0,0,3.3,0,0,0,0,0,100
Baresdhoo inside,BI,2022_BI_5m,5m,Inner,BI_5m_Rep2_10.jpg,0,0,17.2,3.4,6.9,0,0,31,41.4,0,0,0,0,0,0,0,0,0,0,0,3.3,0,100
Fonadhoo inside,FI,2022_FI_10m,10m,Inner,FI_10m_Rep1_01.jpg,0,0,3.4,0,0,0,0,75.9,0,0,0,6.9,0,10.3,0,0,3.4,0,0,3.3,0,0,100
Fonadhoo inside,FI,2022_FI_10m,10m,Inner,FI_10m_Rep1_02.jpg,0,0,4,0,8,0,0,68,0,0,0,8,4,0,0,0,8,0,0,13.3,3.3,0,100
Fonadhoo inside,FI,2022_FI_10m,10m,Inner,FI_10m_Rep1_03.jpg,0,0,3.8,0,3.8,0,0,15.4,0,0,0,7.7,11.5,53.8,3.8,0,0,0,0,10,3.3,0,100
Fonadhoo inside,FI,2022_FI_10m,10m,Inner,FI_10m_Rep1_04.jpg,0,0,0,0,0,0,0,0,0,0,0,27.6,0,41.4,31,0,0,0,0,0,3.3,0,100
Fonadhoo inside,FI,2022_FI_10m,10m,Inner,FI_10m_Rep1_05.jpg,0,0,0,0,0,0,0,50,0,0,0,10,0,16.7,20,0,0,0,3.3,0,0,0,100
Fonadhoo inside,FI,2022_FI_10m,10m,Inner,FI_10m_Rep1_06.jpg,0,0,0,0,0,0,0,17.2,0,0,0,17.2,0,6.9,55.2,0,3.4,0,0,0,3.3,0,100
Fonadhoo inside,FI,2022_FI_10m,10m,Inner,FI_10m_Rep1_07.jpg,0,0,3.8,0,0,0,0,61.5,0,0,3.8,0,0,11.5,0,0,15.4,3.8,0,10,3.3,0,100
Fonadhoo inside,FI,2022_FI_10m,10m,Inner,FI_10m_Rep1_08.jpg,0,0,3.4,0,0,0,0,72.4,0,0,0,0,0,10.3,0,0,13.8,0,0,3.3,0,0,100
Fonadhoo inside,FI,2022_FI_10m,10m,Inner,FI_10m_Rep1_09.jpg,0,0,0,0,0,0,0,69,0,0,0,0,0,0,17.2,0,13.8,0,0,3.3,0,0,100
Fonadhoo inside,FI,2022_FI_10m,10m,Inner,FI_10m_Rep1_10.jpg,0,0,0,0,0,0,0,51.7,0,0,0,0,3.4,0,6.9,0,37.9,0,0,3.3,0,0,100
Fonadhoo inside,FI,2022_FI_10m,10m,Inner,FI_10m_Rep2_01.jpg,0,0,7.4,0,0,0,0,48.1,0,0,0,7.4,3.7,25.9,7.4,0,0,0,0,10,0,0,100
Fonadhoo inside,FI,2022_FI_10m,10m,Inner,FI_10m_Rep2_02.jpg,0,0,3.7,0,0,0,0,55.6,0,0,0,11.1,0,25.9,0,0,3.7,0,0,10,0,0,100
Fonadhoo inside,FI,2022_FI_10m,10m,Inner,FI_10m_Rep2_03.jpg,0,0,0,10.3,6.9,0,0,48.3,3.4,0,0,13.8,6.9,6.9,3.4,0,0,0,0,3.3,0,0,100
Fonadhoo inside,FI,2022_FI_10m,10m,Inner,FI_10m_Rep2_04.jpg,0,0,3.3,0,0,0,0,43.3,0,0,0,10,10,13.3,16.7,0,3.3,0,0,0,0,0,100
Fonadhoo inside,FI,2022_FI_10m,10m,Inner,FI_10m_Rep2_05.jpg,0,0,3.7,0,0,0,0,48.1,0,0,0,25.9,7.4,14.8,0,0,0,0,0,10,0,0,100
Fonadhoo inside,FI,2022_FI_10m,10m,Inner,FI_10m_Rep2_06.jpg,0,0,0,0,0,0,0,55.2,0,0,0,0,3.4,13.8,20.7,0,6.9,0,0,3.3,0,0,100
Fonadhoo inside,FI,2022_FI_10m,10m,Inner,FI_10m_Rep2_07.jpg,0,0,0,0,0,0,0,77.8,0,0,0,0,0,0,0,0,22.2,0,0,10,0,0,100
Fonadhoo inside,FI,2022_FI_10m,10m,Inner,FI_10m_Rep2_08.jpg,0,0,0,0,0,0,0,11.1,0,0,0,11.1,0,22.2,55.6,0,0,0,0,10,0,0,100
Fonadhoo inside,FI,2022_FI_10m,10m,Inner,FI_10m_Rep2_09.jpg,0,0,0,0,4,0,0,84,0,0,0,0,12,0,0,0,0,0,0,13.3,3.3,0,100
Fonadhoo inside,FI,2022_FI_10m,10m,Inner,FI_10m_Rep2_10.jpg,0,0,0,6.7,0,0,0,16.7,6.7,0,0,6.7,0,46.7,16.7,0,0,0,0,0,0,0,100
Fonadhoo inside,FI,2022_FI_5m,5m,Inner,FI_5m_Rep1_01.jpg,0,0,3.7,3.7,0,0,0,18.5,0,0,0,25.9,0,37,7.4,0,3.7,0,0,10,0,0,100
Fonadhoo inside,FI,2022_FI_5m,5m,Inner,FI_5m_Rep1_02.jpg,0,0,3.6,0,0,0,0,17.9,0,0,0,17.9,0,28.6,17.9,0,14.3,0,0,3.3,3.3,0,100
Fonadhoo inside,FI,2022_FI_5m,5m,Inner,FI_5m_Rep1_03.jpg,0,0,14.8,7.4,0,0,0,29.6,0,0,0,44.4,0,3.7,0,0,0,0,0,6.7,3.3,0,100
Fonadhoo inside,FI,2022_FI_5m,5m,Inner,FI_5m_Rep1_04.jpg,0,0,0,0,0,0,0,43.3,0,3.3,0,23.3,3.3,13.3,13.3,0,0,0,0,0,0,0,100
Fonadhoo inside,FI,2022_FI_5m,5m,Inner,FI_5m_Rep1_05.jpg,0,0,4,0,0,0,0,8,0,8,0,20,0,56,4,0,0,0,0,16.7,0,0,100
Fonadhoo inside,FI,2022_FI_5m,5m,Inner,FI_5m_Rep1_06.jpg,0,0,0,3.3,0,0,0,46.7,0,0,0,26.7,0,10,13.3,0,0,0,0,0,0,0,100
Fonadhoo inside,FI,2022_FI_5m,5m,Inner,FI_5m_Rep1_07.jpg,0,0,3.8,3.8,3.8,0,0,46.2,3.8,0,0,15.4,0,11.5,11.5,0,0,0,0,13.3,0,0,100
Fonadhoo inside,FI,2022_FI_5m,5m,Inner,FI_5m_Rep1_08.jpg,0,0,3.6,0,0,0,0,17.9,0,0,0,7.1,0,71.4,0,0,0,0,0,3.3,3.3,0,100
Fonadhoo inside,FI,2022_FI_5m,5m,Inner,FI_5m_Rep1_09.jpg,0,0,3.3,0,0,0,0,13.3,0,0,0,16.7,0,36.7,30,0,0,0,0,0,0,0,100
Fonadhoo inside,FI,2022_FI_5m,5m,Inner,FI_5m_Rep1_10.jpg,0,0,7.1,21.4,3.6,0,0,25,3.6,7.1,3.6,17.9,0,3.6,7.1,0,0,0,0,6.7,0,0,100
Fonadhoo inside,FI,2022_FI_5m,5m,Inner,FI_5m_Rep2_01.jpg,0,0,7.4,0,0,0,0,22.2,3.7,0,0,44.4,0,7.4,11.1,0,0,3.7,0,6.7,3.3,0,100
Fonadhoo inside,FI,2022_FI_5m,5m,Inner,FI_5m_Rep2_02.jpg,0,0,11.5,0,0,0,0,38.5,15.4,0,0,0,3.8,15.4,11.5,0,0,3.8,0,10,3.3,0,100
Fonadhoo inside,FI,2022_FI_5m,5m,Inner,FI_5m_Rep2_03.jpg,0,0,23.1,0,0,0,0,11.5,3.8,0,11.5,7.7,7.7,34.6,0,0,0,0,0,13.3,0,0,100
Fonadhoo inside,FI,2022_FI_5m,5m,Inner,FI_5m_Rep2_04.jpg,0,0,6.7,3.3,0,0,0,10,0,0,0,3.3,0,20,53.3,0,0,3.3,0,0,0,0,100
Fonadhoo inside,FI,2022_FI_5m,5m,Inner,FI_5m_Rep2_05.jpg,0,0,25,3.6,7.1,0,0,46.4,0,0,0,3.6,3.6,3.6,0,0,7.1,0,0,6.7,0,0,100
Fonadhoo inside,FI,2022_FI_5m,5m,Inner,FI_5m_Rep2_06.jpg,0,0,3.4,0,0,0,0,37.9,0,0,0,0,0,51.7,6.9,0,0,0,0,0,3.3,0,100
Fonadhoo inside,FI,2022_FI_5m,5m,Inner,FI_5m_Rep2_07.jpg,0,0,16.7,0,0,0,0,10,0,0,0,0,0,60,13.3,0,0,0,0,0,0,0,100
Fonadhoo inside,FI,2022_FI_5m,5m,Inner,FI_5m_Rep2_08.jpg,0,0,0,0,0,0,0,27.6,0,0,0,3.4,0,69,0,0,0,0,0,0,3.3,0,100
Fonadhoo inside,FI,2022_FI_5m,5m,Inner,FI_5m_Rep2_09.jpg,0,0,3.7,11.1,0,0,0,37,3.7,0,0,3.7,0,22.2,0,0,18.5,0,0,6.7,3.3,0,100
Fonadhoo inside,FI,2022_FI_5m,5m,Inner,FI_5m_Rep2_10.jpg,0,0,0,0,0,0,0,85.2,3.7,0,0,0,0,3.7,0,0,7.4,0,0,10,0,0,100
Fonadhoo outside,FO,2022_FO_10m,10m,Outer,FO_10m_Rep1_01.jpg,0,0,0,48,0,0,0,12,4,0,0,0,36,0,0,0,0,0,0,16.7,0,0,100
Fonadhoo outside,FO,2022_FO_10m,10m,Outer,FO_10m_Rep1_02.jpg,0,0,0,26.7,0,0,0,26.7,6.7,0,0,0,40,0,0,0,0,0,0,0,0,0,100
Fonadhoo outside,FO,2022_FO_10m,10m,Outer,FO_10m_Rep1_03.jpg,0,0,16.7,0,0,0,0,20,10,0,0,0,53.3,0,0,0,0,0,0,0,0,0,100
Fonadhoo outside,FO,2022_FO_10m,10m,Outer,FO_10m_Rep1_04.jpg,0,0,3.3,0,0,0,0,33.3,6.7,0,0,0,56.7,0,0,0,0,0,0,0,0,0,100
Fonadhoo outside,FO,2022_FO_10m,10m,Outer,FO_10m_Rep1_05.jpg,0,0,0,13.3,0,0,0,3.3,13.3,0,0,0,60,0,0,0,10,0,0,0,0,0,100
Fonadhoo outside,FO,2022_FO_10m,10m,Outer,FO_10m_Rep1_06.jpg,0,0,0,20.7,0,0,0,27.6,10.3,0,0,0,37.9,0,0,0,3.4,0,0,0,3.3,0,100
Fonadhoo outside,FO,2022_FO_10m,10m,Outer,FO_10m_Rep1_07.jpg,0,0,3.6,39.3,0,0,0,17.9,0,0,0,0,35.7,0,0,0,3.6,0,0,6.7,0,0,100
Fonadhoo outside,FO,2022_FO_10m,10m,Outer,FO_10m_Rep1_08.jpg,0,0,6.9,10.3,0,0,0,24.1,10.3,0,0,0,44.8,0,0,0,3.4,0,0,3.3,0,0,100
Fonadhoo outside,FO,2022_FO_10m,10m,Outer,FO_10m_Rep1_09.jpg,0,0,0,17.2,0,0,0,27.6,10.3,0,0,0,44.8,0,0,0,0,0,0,3.3,0,0,100
Fonadhoo outside,FO,2022_FO_10m,10m,Outer,FO_10m_Rep1_10.jpg,0,0,6.7,3.3,0,0,0,6.7,16.7,0,0,0,60,0,0,0,6.7,0,0,0,0,0,100
Fonadhoo outside,FO,2022_FO_10m,10m,Outer,FO_10m_Rep2_01.jpg,0,0,50,3.8,0,0,0,7.7,7.7,0,0,0,26.9,0,0,0,3.8,0,0,10,3.3,0,100
Fonadhoo outside,FO,2022_FO_10m,10m,Outer,FO_10m_Rep2_02.jpg,0,0,10.3,3.4,0,0,0,27.6,6.9,0,0,0,41.4,0,0,0,3.4,0,6.9,3.3,0,0,100
Fonadhoo outside,FO,2022_FO_10m,10m,Outer,FO_10m_Rep2_03.jpg,0,0,0,17.2,0,0,0,20.7,3.4,0,0,0,51.7,0,0,0,6.9,0,0,3.3,0,0,100
Fonadhoo outside,FO,2022_FO_10m,10m,Outer,FO_10m_Rep2_04.jpg,0,0,3.3,33.3,0,0,0,20,0,0,0,0,40,0,0,0,0,3.3,0,0,0,0,100
Fonadhoo outside,FO,2022_FO_10m,10m,Outer,FO_10m_Rep2_05.jpg,0,0,3.4,17.2,0,0,0,27.6,6.9,0,0,0,27.6,0,0,0,17.2,0,0,0,3.3,0,100
Fonadhoo outside,FO,2022_FO_10m,10m,Outer,FO_10m_Rep2_06.jpg,0,0,0,3.4,0,0,0,48.3,6.9,0,0,0,41.4,0,0,0,0,0,0,3.3,0,0,100
Fonadhoo outside,FO,2022_FO_10m,10m,Outer,FO_10m_Rep2_07.jpg,0,0,15.4,0,0,0,0,7.7,3.8,0,0,0,57.7,0,0,0,15.4,0,0,13.3,0,0,100
Fonadhoo outside,FO,2022_FO_10m,10m,Outer,FO_10m_Rep2_08.jpg,0,0,24.1,0,0,0,0,27.6,0,0,0,0,17.2,31,0,0,0,0,0,3.3,0,0,100
Fonadhoo outside,FO,2022_FO_10m,10m,Outer,FO_10m_Rep2_09.jpg,0,0,3.6,0,0,0,0,21.4,3.6,0,0,0,71.4,0,0,0,0,0,0,6.7,0,0,100
Fonadhoo outside,FO,2022_FO_10m,10m,Outer,FO_10m_Rep2_10.jpg,0,0,25,3.6,0,0,0,0,7.1,0,0,0,60.7,0,0,0,3.6,0,0,3.3,3.3,0,100
Fonadhoo outside,FO,2022_FO_15m,15m,Outer,FO_15m_Rep1_01.jpg,0,0,15.4,0,0,0,0,34.6,26.9,0,0,0,15.4,0,0,0,7.7,0,0,10,3.3,0,100
Fonadhoo outside,FO,2022_FO_15m,15m,Outer,FO_15m_Rep1_02.jpg,0,0,70,3.3,0,0,0,13.3,6.7,0,0,0,6.7,0,0,0,0,0,0,0,0,0,100
Fonadhoo outside,FO,2022_FO_15m,15m,Outer,FO_15m_Rep1_03.jpg,0,0,3.4,24.1,0,0,0,27.6,31,0,0,0,3.4,0,0,0,10.3,0,0,3.3,0,0,100
Fonadhoo outside,FO,2022_FO_15m,15m,Outer,FO_15m_Rep1_04.jpg,0,0,63.3,13.3,0,0,0,0,20,0,0,0,3.3,0,0,0,0,0,0,0,0,0,100
Fonadhoo outside,FO,2022_FO_15m,15m,Outer,FO_15m_Rep1_05.jpg,0,0,31,3.4,0,0,0,37.9,24.1,0,0,0,0,0,0,0,0,3.4,0,0,3.3,0,100
Fonadhoo outside,FO,2022_FO_15m,15m,Outer,FO_15m_Rep1_06.jpg,0,0,17.9,14.3,0,0,0,14.3,10.7,0,0,0,32.1,0,0,0,10.7,0,0,3.3,3.3,0,100
