"","Site.ID","Site","Depth","Reef type","year","Hard coral","Soft coral","Bleached coral","Diseased coral","Dead coral","Sponge","Algae","Bare rock","Sand","Rubble","Other"
"54","FO","Fonadhoo outside","10m","Outer","2021/22",53.3,0,0,0,0,0,0,3.3,0,0,43.3
"55","FO","Fonadhoo outside","10m","Outer","2021/22",44.8,0,0,0,17.2,6.9,0,3.4,0,0,27.6
"56","FO","Fonadhoo outside","10m","Outer","2021/22",51.7,0,0,0,0,6.9,0,0,0,0,41.4
"57","FO","Fonadhoo outside","10m","Outer","2021/22",7.7,0,0,0,15.4,3.8,0,15.4,0,0,57.7
"58","FO","Fonadhoo outside","10m","Outer","2021/22",27.6,0,0,0,0,0,0,24.1,0,31,17.2
"59","FO","Fonadhoo outside","10m","Outer","2021/22",21.4,0,0,0,0,3.6,0,3.6,0,0,71.4
"60","FO","Fonadhoo outside","10m","Outer","2021/22",3.6,0,0,0,3.6,7.1,0,25,0,0,60.7
"61","FO","Fonadhoo outside","15m","Outer","2021/22",34.6,0,0,0,7.7,26.9,0,15.4,0,0,15.4
"62","FO","Fonadhoo outside","15m","Outer","2021/22",16.6,0,0,0,0,6.7,0,70,0,0,6.7
"63","FO","Fonadhoo outside","15m","Outer","2021/22",51.7,0,0,0,10.3,31,0,3.4,0,0,3.4
"64","FO","Fonadhoo outside","15m","Outer","2021/22",13.3,0,0,0,0,20,0,63.3,0,0,3.3
"65","FO","Fonadhoo outside","15m","Outer","2021/22",41.3,0,0,0,0,24.1,0,31,0,0,3.4
"66","FO","Fonadhoo outside","15m","Outer","2021/22",28.6,0,0,0,10.7,10.7,0,17.9,0,0,32.1
"67","FO","Fonadhoo outside","15m","Outer","2021/22",33.3,0,0,0,3.3,33.3,0,10,0,0,20
"68","FO","Fonadhoo outside","15m","Outer","2021/22",24.1,0,0,0,0,37.9,0,0,0,0,37.9
"69","FO","Fonadhoo outside","15m","Outer","2021/22",51.7,0,0,0,10.3,24.1,0,3.4,0,0,10.3
"70","FO","Fonadhoo outside","15m","Outer","2021/22",65.5,0,0,0,0,24.1,0,6.9,0,0,3.4
"71","FO","Fonadhoo outside","15m","Outer","2021/22",23.3,0,0,0,0,6.7,0,50,0,0,20
"72","FO","Fonadhoo outside","15m","Outer","2021/22",20,0,0,0,0,30,0,33.3,0,0,16.7
"73","FO","Fonadhoo outside","15m","Outer","2021/22",43.3,0,0,0,10,10,0,13.3,0,0,23.3
"74","FO","Fonadhoo outside","15m","Outer","2021/22",23.3,0,0,0,3.3,16.7,0,23.3,0,0,33.3
"75","FO","Fonadhoo outside","15m","Outer","2021/22",30,0,0,0,0,43.3,0,0,0,0,26.7
"76","FO","Fonadhoo outside","15m","Outer","2021/22",44.8,0,0,0,3.4,20.7,0,10.3,0,0,20.7
"77","FO","Fonadhoo outside","15m","Outer","2021/22",36.7,0,0,0,6.7,26.7,0,10,0,0,20
"78","FO","Fonadhoo outside","15m","Outer","2021/22",50,0,3.3,0,6.7,13.3,0,10,0,0,16.7
"79","FO","Fonadhoo outside","15m","Outer","2021/22",44.8,0,0,0,0,17.2,0,0,0,0,37.9
"80","FO","Fonadhoo outside","15m","Outer","2021/22",16.7,0,0,0,6.7,20,0,23.3,0,0,33.3
"81","FK","Fushi kandu","10m","Channel","2021/22",56.7,0,0,0,0,0,0,13.3,13.3,10,6.7
"82","FK","Fushi kandu","10m","Channel","2021/22",50,0,0,0,6.7,3.3,0,20,0,0,20
"83","FK","Fushi kandu","10m","Channel","2021/22",41.4,0,3.4,0,0,0,3.4,17.2,0,0,34.4
"84","FK","Fushi kandu","10m","Channel","2021/22",24.1,0,0,0,0,0,3.4,24.1,6.9,17.2,24.1
"85","FK","Fushi kandu","10m","Channel","2021/22",44.8,0,0,3.4,13.8,0,17.2,3.4,0,6.9,10.3
"86","FK","Fushi kandu","10m","Channel","2021/22",66.6,0,0,0,3.3,3.3,3.3,6.7,0,0,16.6
"87","FK","Fushi kandu","10m","Channel","2021/22",62.1,0,0,0,0,3.4,0,13.8,0,17.2,3.4
"88","FK","Fushi kandu","10m","Channel","2021/22",73.4,0,0,0,0,0,0,0,0,0,26.7
"89","FK","Fushi kandu","10m","Channel","2021/22",34.4,0,0,0,0,3.4,13.8,27.6,0,13.8,6.9
"90","FK","Fushi kandu","10m","Channel","2021/22",58.6,0,0,0,0,0,3.4,10.3,0,0,27.6
"91","FK","Fushi kandu","10m","Channel","2021/22",24.1,0,0,0,0,3.4,0,13.8,0,27.6,31
"92","FK","Fushi kandu","10m","Channel","2021/22",23.3,0,0,0,0,0,0,23.3,0,10,43.3
"93","FK","Fushi kandu","10m","Channel","2021/22",23.3,0,0,0,0,3.3,0,53.3,0,6.7,13.3
"94","FK","Fushi kandu","10m","Channel","2021/22",56.7,0,0,0,0,3.3,0,3.3,0,0,36.7
"95","FK","Fushi kandu","10m","Channel","2021/22",10,0,0,0,0,3.3,6.7,10,3.3,60,6.7
"96","FK","Fushi kandu","10m","Channel","2021/22",13.7,0,0,0,0,3.4,0,34.5,0,6.9,41.4
"97","FK","Fushi kandu","10m","Channel","2021/22",36.7,0,16.7,0,0,6.7,0,20,0,6.7,13.3
"98","FK","Fushi kandu","10m","Channel","2021/22",64.3,0,0,0,0,7.1,0,0,0,0,28.6
"99","FK","Fushi kandu","10m","Channel","2021/22",20.7,0,0,0,0,0,3.4,48.3,0,6.9,20.7
"100","FK","Fushi kandu","10m","Channel","2021/22",27.5,0,0,0,0,3.4,0,37.9,6.9,20.7,3.4
"101","FK","Fushi kandu","15m","Channel","2021/22",13.8,0,0,0,0,27.6,34.5,10.3,0,3.4,10.3
"102","FK","Fushi kandu","15m","Channel","2021/22",34.5,0,0,0,0,10.3,17.2,6.9,0,27.6,3.4
"103","FK","Fushi kandu","15m","Channel","2021/22",67.9,0,0,0,3.6,3.6,17.9,7.1,0,0,0
"104","FK","Fushi kandu","15m","Channel","2021/22",13.3,0,0,0,0,6.7,26.7,16.7,0,36.7,0
"105","FK","Fushi kandu","15m","Channel","2021/22",34.5,3.4,0,0,3.4,6.9,24.1,10.3,0,13.8,3.4
"106","FK","Fushi kandu","15m","Channel","2021/22",13.3,0,0,0,0,6.7,26.7,33.3,0,20,0
"107","FK","Fushi kandu","15m","Channel","2021/22",39.2,0,0,0,0,3.6,35.7,14.3,0,7.1,0
"108","FK","Fushi kandu","15m","Channel","2021/22",30,0,3.3,3.3,3.3,0,40,13.3,0,0,6.7
"109","FK","Fushi kandu","15m","Channel","2021/22",51.7,0,0,0,0,10.3,17.2,17.2,0,0,3.4
"110","FK","Fushi kandu","15m","Channel","2021/22",30,0,0,0,3.3,13.3,10,33.3,0,6.7,3.3
"111","FK","Fushi kandu","15m","Channel","2021/22",36.7,0,0,0,0,3.3,0,43.3,0,13.3,3.3
"112","FK","Fushi kandu","15m","Channel","2021/22",20.7,0,0,0,0,0,0,69,0,6.9,3.4
"113","FK","Fushi kandu","15m","Channel","2021/22",36.7,0,0,0,0,6.7,13.3,13.3,0,26.7,3.3
"114","FK","Fushi kandu","15m","Channel","2021/22",30,0,0,0,0,6.7,0,20,0,36.7,6.7
"115","FK","Fushi kandu","15m","Channel","2021/22",46.4,0,0,0,14.3,3.6,3.6,25,0,7.1,0
"116","FK","Fushi kandu","15m","Channel","2021/22",30,0,0,0,3.3,0,36.7,26.7,0,0,3.3
"117","FK","Fushi kandu","15m","Channel","2021/22",40,0,0,0,3.3,6.7,16.7,23.3,0,6.7,3.3
"118","FK","Fushi kandu","15m","Channel","2021/22",13.3,0,0,0,0,0,6.7,13.3,0,66.7,0
"119","FK","Fushi kandu","15m","Channel","2021/22",50,0,0,0,0,13.3,6.7,26.7,0,3.3,0
"120","FK","Fushi kandu","15m","Channel","2021/22",6.7,0,0,0,3.3,3.3,33.3,53.3,0,0,0
