site,reef_type,family,species,biomass,importance
pink_thila,thila,SNAP,IND,566,com
pink_thila,thila,GRO,ARG,454,com
pink_thila,thila,EMP,MONO,356,com
pink_thila,thila,SNAP,RED,308,com
rah_dashu_haa,thila,GRO,SEX,13971.979,com
rah_dashu_haa,thila,PAR,SORDID,13167.43933,eco
rah_dashu_haa,thila,SNAP,IND2,11340,com
rah_dashu_haa,thila,PAR,DUSKY,8353.530949,eco
rah_dashu_haa,thila,PAR,ECLIPSE,2784.092618,eco
rah_dashu_haa,thila,T&J,MEL,2234,com
rah_dashu_haa,thila,GRO,ROG,1536,com
rah_dashu_haa,thila,EMP,MONO,1424,com
rah_dashu_haa,thila,SNAP,MONOS,1292,com
rah_dashu_haa,thila,GRO,LEU,1194,com
rah_dashu_haa,thila,GRO,LOU,1077,com
rah_dashu_haa,thila,GRO,ALBO,953,com
rah_dashu_haa,thila,PAR,3 COLOUR,943.3148754,eco
rah_dashu_haa,thila,GRO,ARE,543,com
rah_dashu_haa,thila,GRO,ARG,531,com
rah_dashu_haa,thila,GRO,LEO,309,com
rah_dashu_haa,thila,GRO,POL,258,com
rah_dashu_haa,thila,SNAP,KAS,198,com
rah_dashu_haa,thila,SNAP,GIB,142,com
rah_dashu_haa,thila,PAR,BLUEBAR,91.02450264,eco
rah_dashu_haa,thila,EMP,AUR,76,com
rah_dashu_haa,thila,PAR,SCABER,73.58020313,eco
rah_dashu_haa,thila,GRO,BOE,71.1887481,com
rah_dashu_haa,thila,SNAP,FAS,58.7608591,com
rah_dashu_haa,thila,GRO,MIN,55,com
rah_dashu_haa,thila,PAR,FRENATUS,5.89738945,eco
raha_inside,inside,PAR,SORDID,24988.82253,eco
raha_inside,inside,PAR,DUSKY,21663.37198,eco
raha_inside,inside,PAR,3 COLOUR,6761.183715,eco
raha_inside,inside,RAB,SCH,2595.438184,com
raha_inside,inside,EMP,ERY,2190,com
raha_inside,inside,RAB,SGR,1937.787418,com
raha_inside,inside,RAB,STR,1602.693662,com
raha_inside,inside,PAR,LNOSE,1336.112909,eco
raha_inside,inside,PAR,ECLIPSE,1178.25415,eco
raha_inside,inside,GRO,ARG,1167,com
raha_inside,inside,GRO,LEU,796,com
raha_inside,inside,SNAP,FUR,666,com
raha_inside,inside,GRO,ROG,552,com
raha_inside,inside,EMP,MONO,534,com
raha_inside,inside,GRO,COE,496,com
raha_inside,inside,SNAP,MID,339.455217,com
raha_inside,inside,GRO,MIN,257,com
raha_inside,inside,GRO,ARE,200,com
raha_inside,inside,GRO,MER,175,com
raha_inside,inside,SNAP,KAS,66,com
raha_inside,inside,SNAP,IND,66,com
raha_inside,inside,EMP,LMIC,59,com
raha_inside,inside,GRO,LEA,41.9684215,com
raha_inside,inside,PAR,EMBER,12.14481496,eco
raha_inside,inside,PAR,2 COLOUR,2.60709625,eco
vadinolhu,channel,PAR,SORDID,1809.870167,eco
vadinolhu,channel,PAR,DUSKY,303.7890402,eco
vadinolhu,channel,PAR,3 COLOUR,867.3180706,eco
vadinolhu,channel,PAR,SCABER,429.99941,eco
vadinolhu,channel,RAB,STR,108.8328508,com
vadinolhu,channel,PAR,BLUEBAR,423.879609,eco
vadinolhu,channel,EMP,MONO,267,com
vadinolhu,channel,GRO,ARG,613,com
vadinolhu,channel,GRO,ROG,1309,com
vadinolhu,channel,GRO,MIN,312,com
vadinolhu,channel,SNAP,RED,1466,com
vadinolhu,channel,RAB,SCH,630.145859,com
vadinolhu,channel,PAR,LNOSE,116.3925634,eco
vadinolhu,channel,PAR,2 COLOUR,965.2817941,eco
vadinolhu,channel,PAR,BARTAIL,2814.91637,eco
vadinolhu,channel,GRO,BOE,838.9213178,com
vadinolhu,channel,T&J,MACA,47.5511238,com
