Date,Site,Depth,Replicate,Reef impacts,,,
07/10/2019,FI,5m,2,FISHING LINES,,,
07/10/2019,FI,5m,2,FISHING LINES,,,
07/10/2019,FI,5m,2,DRUPELLA DAMAGE,,,
07/11/2019,FK,10m,2,FISHING LINES,,,
07/11/2019,FK,10m,2,FISHING LINES,,,
07/11/2019,FK,10m,2,FISHING LINES,,,
07/11/2019,FK,10m,2,FISHING LINES,,,
07/11/2019,FK,10m,2,FISHING LINES,,,
07/11/2019,FK,10m,2,FISHING LINES,,,
07/11/2019,FK,10m,2,FISHING LINES,,,
07/11/2019,FK,10m,2,FISHING LINES,,,
07/11/2019,FK,15m,2,FISHING LINES,,,
07/11/2019,FK,15m,2,FISHING LINES,,,
07/11/2019,FK,15m,1,FISHING LINES,,,
07/11/2019,FK,15m,1,FISHING LINES,,,
07/11/2019,FK,15m,2,TRASH,,,
07/11/2019,FK,15m,2,FISHING LINES,,,
07/11/2019,FK,15m,2,FISHING LINES,,,
07/11/2019,FK,15m,2,FISHING LINES,,,
07/11/2019,FK,15m,2,FISHING LINES,,,
07/11/2019,FK,15m,2,FISHING LINES,,,
07/11/2019,FK,15m,2,FISHING LINES,,,
07/11/2019,FK,15m,2,FISHING LINES,,,
07/11/2019,FK,15m,2,FISHING LINES,,,
07/11/2019,FK,15m,2,FISHING LINES,,,
07/11/2019,FK,15m,2,FISHING LINES,,,
07/11/2019,FK,15m,2,FISHING LINES,,,
07/11/2019,FK,15m,2,FISHING LINES,,,
07/11/2019,FK,15m,2,FISHING LINES,,,
7/13/2019,RDH,10m,1,TRASH,,,
7/13/2019,RDH,10m,2,FISHING LINES,,,
7/13/2019,RDH,15m,1,TRASH,,,
7/13/2019,RDH,15m,1,TRASH,,,
7/13/2019,RDH,15m,2,FISHING LINES,,,
7/14/2019,GI,10m,1,TRASH,,,
7/14/2019,GI,10m,1,FISHING LINES,,,
7/14/2019,GI,10m,2,TRASH,,,
7/14/2019,GI,10m,2,FISHING LINES,,,
7/14/2019,GI,10m,2,FISHING LINES,,,
7/14/2019,GI,10m,2,FISHING LINES,,,
7/14/2019,GI,10m,2,FISHING LINES,,,
7/14/2019,GI,10m,1,COTS/CS DAMAGE,,,
7/14/2019,GI,10m,2,COTS/CS DAMAGE,,,
7/14/2019,GI,10m,2,TRASH,,,
7/14/2019,GI,10m,2,TRASH,,,
7/14/2019,GI,10m,2,TRASH,,,
7/14/2019,GI,5m,1,TRASH,,,
7/14/2019,GI,5m,1,TRASH,,,
7/14/2019,GI,5m,1,TRASH,,,
7/14/2019,GI,5m,1,FISHING LINES,,,
7/14/2019,GI,5m,1,FISHING LINES,,,
7/14/2019,GI,5m,1,COTS/CS DAMAGE,,,
7/14/2019,GI,5m,1,COTS/CS DAMAGE,,,
7/14/2019,GI,5m,2,TRASH,,,
7/18/2019,HC,10m,1,COTS/CS DAMAGE,,,
7/18/2019,HC,10m,2,ANCHOR DAMAGE,,,
7/18/2019,HC,15m,1,TRASH,,,
7/18/2019,HC,15m,2,FISHING LINES,,,
7/21/2019,MBO,10m,1,FISHING LINES,,,
7/21/2019,MBO,10m,1,FISHING LINES,,,
7/21/2019,MBO,10m,1,FISHING LINES,,,
7/21/2019,MBO,10m,2,FISHING LINES,,,
7/21/2019,MBO,10m,2,TRASH,,,
7/21/2019,MBO,10m,2,OTHER DAMAGES,,,
7/21/2019,MBO,15m,1,0,,,
7/21/2019,MBI,10m,1,FISHING LINES,,,
7/21/2019,MBI,10m,1,TRASH,,,
7/21/2019,MBI,10m,1,FISHING LINES,,,
7/21/2019,MBI,10m,1,FISHING LINES,,,
7/21/2019,MBI,10m,1,FISHING LINES,,,
7/21/2019,MBI,5m,1,0,,,
7/23/2019,OC,10m,2,TRASH,,,
7/23/2019,OC,10m,1,COTS/CS DAMAGE,,,
7/23/2019,OC,10m,1,OTHER DAMAGES,,,
7/23/2019,OC,15m,1,TRASH,,,
7/23/2019,OC,15m,2,TRASH,,,
7/23/2019,OC,15m,1,FISHING LINES,,,
7/24/2019,FO,10m,1,0,,,
7/24/2019,FO,15m,1,0,,,
7/25/2019,HW,10m,1,0,,,
7/25/2019,HW,15m,1,FISHING LINES,,,
7/25/2019,HW,15m,2,FISHING LINES,,,
7/25/2019,HW,15m,2,FISHING LINES,,,
7/28/2019,KO,10m,1,FISHING LINES,,,
7/28/2019,KO,15m,2,FISHING LINES,,,
7/28/2019,KO,15m,2,FISHING LINES,,,
7/28/2019,KO,15m,2,FISHING LINES,,,
7/28/2019,KO,15m,2,FISHING LINES,,,
7/30/2019,GO,10m,1,FISHING LINES,,,
7/30/2019,GO,10m,1,FISHING LINES,,,
7/30/2019,GO,10m,2,FISHING LINES,,,
7/30/2019,GO,15m,1,FISHING LINES,,,
08/03/2019,MC,10m,1,FISHING LINES,,,
08/03/2019,MC,10m,2,FISHING LINES,,,
08/03/2019,MC,10m,2,FISHING LINES,,,
08/03/2019,MC,10m,2,OTHER DAMAGES,,,
08/03/2019,MC,10m,1,FISHING LINES,,,
08/03/2019,MC,10m,1,FISHING LINES,,,
08/03/2019,MC,10m,1,FISHING LINES,,,
08/03/2019,MC,10m,1,FISHING LINES,,,
08/03/2019,MC,10m,1,FISHING LINES,,,
08/03/2019,MC,10m,1,FISHING LINES,,,
08/03/2019,MC,10m,1,FISHING LINES,,,
08/03/2019,MC,10m,2,FISHING LINES,,,
