"","Site.name","Depth","Site.ID","Reef.type","Acropora","Other.Coral","Total.hard.coral","Bleached.Acropora","Bleached.other.coral","Total.bleached.coral","Diseased.Coral","Dead.Coral","Soft.Coral","Sponge","Turf","Halimeda","Other.algae","Total.Algae","Bare.rock","Sand","Rubble","Other","CCA","Anemone","Corallimorph","Anemone.Corallimorph"
"34","Maabaidhoo inside","10m","MBI","Inner",4.935,23.85,28.785,3.99,0.21,4.2,0.335,1.685,0.165,9.175,0.165,0,0,0.165,32.37,2.33,20.585,0,0.165,0,0,0
"35","Maabaidhoo outside","10m","MBO","Outer",3.44,19.59,23.03,2.78,0,2.78,0,0.85,0.345,3.045,12.375,0,0,12.375,28.825,0.495,13.56,0,14.59,0,0,0
"36","Maabaidhoo outside","15m","MBO","Outer",3.525,14.65,18.175,0.68,0,0.68,0.17,0.34,0.165,2.695,14.685,0.165,0,14.85,30.82,3.365,23.78,0,4.905,0,0,0
"37","Maavah corner","10m","MC","Channel",0.505,28.115,28.62,0,0,0,0,2.375,0,4.82,0,1.83,0,1.83,54.82,0.165,5.475,0.665,1.185,0,0,0
"38","Maavah corner","15m","MC","Channel",2.105,31.04,33.145,0,0,0,0,0.695,0,11.185,0,7.92,0,7.92,31.715,0.855,7.805,0.35,6.27,0,0,0
"39","Maavah inside","5m","MI","Inner",0.54,30.39,30.93,0,0,0,0,6.19,0,0.165,6.71,0,0,6.71,9.04,18.29,28.295,0.335,0,0,0,0
"40","Maavah inside","10m","MI","Inner",2.5,47.495,49.995,0,0,0,0,7.47,0,0,6.52,0,0,6.52,16.005,8.565,11.435,0,0,0,0,0
"41","Maavah outside","10m","MO","Outer",1.665,10.26,11.925,0,0,0,0,0,0,6.56,0,0,0,0,73.745,0,4.865,0.665,2.215,0,0,0
"42","Maavah outside","15m","MO","Outer",0.33,13.72,14.05,0,0,0,0,1.415,0,13.495,0,4.51,0,4.51,51.76,0.17,8.42,0.38,5.76,0,0,0
"43","Mundoo kandu","10m","MK","Channel",3.895,25.41,29.305,0,0,0,0,0,0,0.34,6.82,11.715,0.355,18.89,6.51,0.51,10.47,0.17,33.735,0,0,0
"44","Mundoo kandu","15m","MK","Channel",10.565,23.815,34.38,0,0,0,0,0.5,0,1.995,3.18,29.325,0.68,33.185,8.435,2.34,8.96,0.165,9.775,0.17,0,0.17
"45","Olhutholhu inside","5m","OI","Inner",0.5,23.755,24.255,0,0,0,0,0.165,0,4.42,1.04,0,0.165,1.205,43.935,13.71,7.845,0.495,3.945,0,0,0
"46","Olhutholhu inside","10m","OI","Inner",4.33,22.805,27.135,0,0,0,0,10.53,0.165,3.375,0,0,0,0,24.365,3.995,30.425,0,0,0,0,0
"47","Olhuveli corner","10m","OC","Channel",0,13.165,13.165,0,0,0,0,0,0,1.56,41.44,0,0,41.44,28.33,10.195,3.76,0.685,0.83,0,0,0
"48","Olhuveli corner","15m","OC","Channel",0,15.805,15.805,0,0,0,0,0,0,0.33,43.56,0,0,43.56,32.775,4.815,2.03,0,0.665,0,0,0
"49","Olhuveli reef","5m","OR","Inner",8.37,19.19,27.56,0,0,0,0,1.5,0,3.335,0.86,0.67,0,1.53,23.995,19.835,22.05,0.165,0,0,0,0
"50","Olhuveli reef","10m","OR","Inner",7.725,20.875,28.6,0,0,0,0,1.83,0,5.18,0.165,0.165,0,0.33,15.595,27.86,20.535,0,0,0,0,0
"51","Raha inside","5m","RI","Inner",10.325,27.17,37.495,0,0,0,0,7.99,0,1.165,0,0,0,0,11.335,21.325,20.675,0,0,0,0,0
"52","Raha inside","10m","RI","Inner",20.025,32.925,52.95,0.83,0,0.83,0,4.515,0,3.735,0,0,0,0,13.24,17.325,7.19,0,0.17,0,0,0
"53","Rahdashuhaa","10m","RDH","Thila",23.29,20.295,43.585,1.66,0,1.66,0,1.51,0,9.115,0.165,0,0,0.165,4.39,16.045,23.15,0.335,0,0,0,0
"54","Rahdashuhaa","15m","RDH","Thila",17.72,22.595,40.315,4.09,0,4.09,0,4.26,0,1.585,2.075,0,0,2.075,21.44,10.99,15.21,0,0,0,0,0
"55","Vadinolhu kandu","10m","VK","Channel",0,36.925,36.925,0,0,0,0,0.845,0,0.515,0.5,16.625,0,17.125,36.84,0,7.23,0,0.5,0,0,0
"56","Vadinolhu kandu","15m","VK","Channel",0,12.48,12.48,0,0,0,0,0,0,7.79,0.34,11.835,0,12.175,50.8,0,16.555,0.165,0,0,0,0
